,code,tradeStatus,code_name
1037,sh.601006,1,大秦铁路
1038,sh.601007,1,金陵饭店
1039,sh.601008,1,连云港
1040,sh.601009,1,南京银行
1041,sh.601010,1,文峰股份
1042,sh.601011,1,宝泰隆
1043,sh.601012,1,隆基股份
1044,sh.601015,1,陕西黑猫
1045,sh.601016,1,节能风电
1046,sh.601018,1,宁波港
1047,sh.601019,1,山东出版
1048,sh.601020,1,华钰矿业
1049,sh.601021,1,春秋航空
1050,sh.601028,1,玉龙股份
1051,sh.601038,1,一拖股份
1052,sh.601058,1,赛轮轮胎
1053,sh.601066,1,中信建投
1054,sh.601068,1,中铝国际
1055,sh.601069,1,西部黄金
1056,sh.601086,1,国芳集团
1057,sh.601088,1,中国神华
1058,sh.601098,1,中南传媒
1059,sh.601099,1,太平洋
1060,sh.601100,1,恒立液压
1061,sh.601101,1,昊华能源
1062,sh.601106,1,中国一重
1063,sh.601107,1,四川成渝
1064,sh.601108,1,财通证券
1065,sh.601111,1,中国国航
1066,sh.601113,1,ST华鼎
1067,sh.601116,1,三江购物
1068,sh.601117,1,中国化学
1069,sh.601118,1,海南橡胶
1070,sh.601126,1,四方股份
1071,sh.601127,1,小康股份
1072,sh.601128,1,常熟银行
1073,sh.601137,1,博威合金
1074,sh.601138,1,工业富联
1075,sh.601139,1,深圳燃气
1076,sh.601155,1,新城控股
1077,sh.601158,1,重庆水务
1078,sh.601162,1,天风证券
1079,sh.601163,1,三角轮胎
1080,sh.601166,1,兴业银行
1081,sh.601168,1,西部矿业
1082,sh.601169,1,北京银行
1083,sh.601177,1,杭齿前进
1084,sh.601179,1,中国西电
1085,sh.601186,1,中国铁建
1086,sh.601188,1,龙江交通
1087,sh.601198,1,东兴证券
1088,sh.601199,1,江南水务
1089,sh.601200,1,上海环境
1090,sh.601208,1,东材科技
1091,sh.601211,1,国泰君安
